Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"RT @FaheemYounus: To “the vaccine have side effects” crowd 

If you scrutinized the side effects of drugs we ROUTINELY use (and you GLADLY…",2021-05-09 18:20:37,1391458098905116672,thischeena,,,True,2549,0,en,vaccine
,"@_AfricanSoil From my own observation
I don't see that coming especially with vaccine business going well,remember… https://t.co/CFwvKt9zok",2021-05-09 18:20:37,1391458098691330048,mokwenalebogan3,,"Pretoria, South Africa",False,0,0,en,vaccine
,RT @nowthisnews: ‘Grow the f*ck up and get the vaccine’ — These health care workers shared their honest thoughts about anti-vaxxers in this…,2021-05-09 18:20:37,1391458097218998276,rewir8rh83,,"ÜT: 37.678799,-120.987029",True,864,0,en,vaccine
,RT @vivekagnihotri: Whoever I speak to abroad speaks very highly of India’s humanitarian efforts with Vaccine. India has always been a grea…,2021-05-09 18:20:37,1391458096996704257,monambuj,,,False,1950,0,en,vaccine
,"RT @MinhazMerchant: Kejriwal must rank as the shiftiest politician in India. Just when an SC-ordered O2 audit threatens to expose his govt,…",2021-05-09 18:20:36,1391458092890529795,Md_Ayesha_,,"Dubai, United Arab Emirates",False,354,0,en,vaccine
,"RT @emilyyyhu: Me two hours ago: this vaccine ain’t sh*t
Me now: https://t.co/DRjlcqVwbM",2021-05-09 18:20:35,1391458092651479042,mihu0307,,By Liliana's side | She/They |,False,1706,0,en,vaccine
,"RT @FaheemYounus: To “the vaccine have side effects” crowd 

If you scrutinized the side effects of drugs we ROUTINELY use (and you GLADLY…",2021-05-09 18:20:35,1391458091506434048,ruhulaminfakara,,"Sanjan, India",False,2549,0,en,vaccine
,@Melorra99 @VaxHuntersCan It's moving really quick. I was not priority and there only 30 min before vaccine. Go if you can,2021-05-09 18:20:35,1391458089535213568,kpnov23,,,False,0,0,en,vaccine
,RT @BBCWorld: Dracula's castle in Romania offers tourists Covid vaccine https://t.co/oAUlnHZZGN,2021-05-09 18:20:35,1391458088717271040,warlockthunder1,,"Oakville, Ontario",False,394,0,en,vaccine
,"@nowthisnews While all the Twitheads out there are preaching about getting an FDA unapproved “vaccine”, look at the… https://t.co/iyK5s5lAwK",2021-05-09 18:20:34,1391458088297840643,kadb99,,,False,0,0,en,vaccine
,"RT @calamur: have you seen the photo on our vaccine certificates? 
or the logos on the ventilators? 
or food packets with party branding

l…",2021-05-09 18:20:34,1391458088226496513,MANJITSINGHARYA,,haryana (india),False,1147,0,en,vaccine
,@DAdRobs @AlanMCole I tend to suspect that’s a talking point from the never gonna get it anyway crowd. Have yet to… https://t.co/g7oXP2kJu7,2021-05-09 18:20:34,1391458086033010689,LeeCEldridge,,Lawrence KS,True,0,0,en,vaccine
,RT @UNDESA: There are 4 types of #COVID19 vaccine💉 in use around the world. They all work slightly differently to shield us against the vir…,2021-05-09 18:20:34,1391458085181345792,NiliMajumder,,,False,4,0,en,vaccine
