Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"RT @jljcolorado: 1/ TIME FOR SOME AIRBORNE + DROPLET HISTORY

Now that @WHO and @CDCgov have finally accepted *after a year of denial and d…",5/9/2021 17:20,1.39144E+18,CovidDc,,,FALSE,1142,0,en,covid-19
,"RT @IJaising: What a rotten legal system we have , Natasha’s father died while  she was waiting for the court to decide her bail applicatio…",5/9/2021 17:20,1.39144E+18,_Neha_G,,Asia Pacific,FALSE,415,0,en,covid-19
,"RT @DHFWKA: Further Guidelines regarding admission, discharge and transfer of COVID-19 patients.
 @WFRising @citizenkamran @BangaloreBuzz @…",5/9/2021 17:20,1.39144E+18,CitizenKamran,,"Bengaluru, India",FALSE,5,0,en,covid-19
,Healthcare heroes: How one Syracuse hospital learned to fight Covid-19 https://t.co/rvESUXcKE3,5/9/2021 17:20,1.39144E+18,syracusedotcom,,"Syracuse, NY",TRUE,0,1,en,covid-19
,RT @bopanc: 8. Angela Merkel’s government is opposing the US initiative to suspend Covid-19 vax patents:”Vaccine manufacturing is limited b…,5/9/2021 17:20,1.39144E+18,FranklinsRule,,"California, USA",TRUE,19,0,en,covid-19
,RT @zahirrrs: PRN Sabah that destroys all the good effort that Malaysians made to reduce the Covid-19 should go down in Sejarah textbook.,5/9/2021 17:20,1.39144E+18,ntshasss_,,,FALSE,7092,0,en,covid-19
,Saudi Arabia to hold Hajj pilgrimage under certain COVID-19 health precautions - https://t.co/XHj5JV4vd7 https://t.co/RiHB15NCfh,5/9/2021 17:20,1.39144E+18,DailyRahnuma,,"Hyderabad, India",TRUE,0,0,en,covid-19
,"RT @USAO_LosAngeles: Federal agents have seized three luxury sports cars allegedly purchased by Mustafa Qadiri, 38, of Irvine, with fraudul…",5/9/2021 17:20,1.39144E+18,EAtheling,,"Oregon, USA",TRUE,727,0,en,covid-19
,RT @PiyushGoyal: Railways is continuing its journey of bringing relief to COVID-19 patients by swiftly delivering Oxygen to various states…,5/9/2021 17:20,1.39144E+18,Gullybo63109472,,India,FALSE,129,0,en,covid-19
,"RT @bollywood_life: Sidharth Shukla's take on'Masking Up' during the COVID-19 pandemic is as hilarious as it's ironical 
 #BiggBoss14 #Brok…",5/9/2021 17:20,1.39144E+18,himani_typo,,,FALSE,971,0,en,covid-19
,"RT @Tim_Bousquet: 165 new cases of COVID-19 are announced in Nova Scotia today (Sunday, May 9) /thread",5/9/2021 17:20,1.39144E+18,97Shania,,Montreal- Yarmouth,TRUE,38,0,en,covid-19
,"RT @cov19treatments: May 7, 2021 Dr. Yagisawa Kitasato University Suggests WHO &amp; Regulators Not Ignore Ivermectin Positive Data.  ""105 stud…",5/9/2021 17:20,1.39144E+18,NanningaHans,,"Deventer, Overijssel",FALSE,351,0,en,covid-19
,Eeffect of covid 19 https://t.co/W0W4ZiQFps,5/9/2021 17:20,1.39144E+18,ReneOlivarez17,,,FALSE,0,0,en,covid-19
,"RT @the_hindu: According to sources, Mr. Rangasamy, who had tested negative a couple of days ago for the swearing-in ceremony, was tested a…",5/9/2021 17:20,1.39144E+18,ikalania121,,"Mumbai, India",TRUE,7,0,en,covid-19
,RT @HimaSreeB1: I'm not receiving my fellowship from August 2020. It is very difficult to meet the medical expenses in this situation of Co…,5/9/2021 17:20,1.39144E+18,Punit_khatri,,Pilani,TRUE,4,0,en,covid-19
,"RT @itvnews: There were 1,770 new cases of Covid-19 recorded in the UK on Sunday https://t.co/MaKhvcE16v",5/9/2021 17:20,1.39144E+18,RealCheshireSet,,"White Nancy, Cheshire. UK.",TRUE,6,0,en,covid-19
,"RT @mygovindia: Here’s the latest data on consumption and availability of the #COVID vaccine. 
A total number of 1.19 crore doses available…",5/9/2021 17:20,1.39144E+18,Maheshduth,,"Guntur,Andhra pradesh ; india",FALSE,78,0,en,covid-19
,"President @ibusolih's mother diagnosed with Covid-19, Currently receiving treatment at hospital. I wish her a speedy recovery",5/9/2021 17:20,1.39144E+18,AIiizzath,,Fuvahmulah Maldives,TRUE,1,3,en,covid-19
,"RT @bopanc: 12. @derspiegel: The EU sees the US proposal for a Covid-19 vaccine patent waiver as ""perfidious double moral standards"" becaus…",5/9/2021 17:20,1.39144E+18,walli5,, #Barcelona #Berlin ,TRUE,1,0,en,covid-19
,"RT @erbmjha: Dear @Uppolice, As per covid norms only 20 people are allowed during cremation. 

How many you can count? I only see 19 🕵️ htt…",5/9/2021 17:20,1.39144E+18,sakthivel_cit93,,,TRUE,1109,0,en,covid-19
,"RT @thewire_in: If we had not so resolutely turned our backs on public scrutiny and accountability, it is unthinkable that two Central mini…",5/9/2021 17:20,1.39144E+18,MadanKandal3,,"Shamla Hills, Bhopal",TRUE,141,0,en,covid-19
,"RT @Coronavirusgoo1: In the UK, the 7 day rolling average of Covid-19 deaths has fallen to single digits for the first time since September…",5/9/2021 17:20,1.39144E+18,zaknumber1,,Fenland ,TRUE,109,0,en,covid-19
,"COVID-19: India has received 3 lakh Remdesivir vials, over 6,000 O2 concentrators from abroad so far https://t.co/KxkBa15UJ0",5/9/2021 17:20,1.39144E+18,Ankush789,,"Nagpur, India",FALSE,0,0,en,covid-19
,RT @PhilippineStar: Several people are seen swimming in a pool at Gubat Sa Ciudad Resort in Caloocan on Sunday amid the COVID-19 pandemic.…,5/9/2021 17:20,1.39144E+18,tenshicotton,,ʇǝuɐldoxǝ˙ǝʌɐuooɯʎǝuoɥ,FALSE,109,0,en,covid-19
,"RT @pamelaphilipose: An hour ago, Natasha Narwal wonderful, vibrant, supportive father succumbed to COVID-19. His death symbolises the crue…",5/9/2021 17:20,1.39144E+18,Shumir_Oliver,,,FALSE,1044,0,en,covid-19
,RT @CMOGuj: The Gujarat Govt ensures the availability of medical grade oxygen for COVID-19 patients by augmenting oxygen generation and str…,5/9/2021 17:20,1.39144E+18,Ram__Rathod,,,TRUE,435,0,en,covid-19
,RT @zahirrrs: PRN Sabah that destroys all the good effort that Malaysians made to reduce the Covid-19 should go down in Sejarah textbook.,5/9/2021 17:20,1.39144E+18,hjjsi_,,hell,FALSE,7092,0,en,covid-19
,"RT @jigneshmevani80: Just received the unfortunate news of @HardikPatel_ 's father, Shri Bharat Patel ji, passing away due to COVID-19. He…",5/9/2021 17:20,1.39144E+18,Vishal74041959,,,FALSE,430,0,en,covid-19
,@nhk_news COVID-19,5/9/2021 17:20,1.39144E+18,Amukkled,,المملكة العربية,TRUE,0,0,en,covid-19
,@FoxNews Time to sue FOX NEWS all their media people are lying.COVID-19 is real.Did all forget how many people Trum… https://t.co/4rsjbJygIw,5/9/2021 17:20,1.39144E+18,ccs4916,,,FALSE,0,0,en,covid-19
,RT @business: Why vaccines might not be able to eliminate Covid-19 https://t.co/HDbfLckUTn,5/9/2021 17:20,1.39144E+18,khoisanxjahroot,,,FALSE,15,0,en,covid-19
,"RT @AnthonyDiComo: From the Mets: Earlier this week, the COVID-19 vaccine clinic at Citi Field administered its 100,000th dose. The clinic…",5/9/2021 17:20,1.39144E+18,Beefareeno,,,FALSE,47,0,en,covid-19
,"The history of independent India is one of political and humanitarian crisis followed by self-renewal, and the coun… https://t.co/TbqTaJk8qO",5/9/2021 17:20,1.39144E+18,VRFerose,,"Cupertino, CA",TRUE,0,1,en,covid-19
,"RT @OfficialDMRC: In the wake of revised guidelines issued today by the Govt. of NCT of Delhi, on extension of Curfew in Delhi for the cont…",5/9/2021 17:20,1.39144E+18,MayankShree3,,"New Delhi, India",FALSE,33,0,en,covid-19
,"RT @AltGovDoc: Chronic NSAID use was not associated with worse Covid outcomes 

Non-steroidal anti-inflammatory drug use and outcomes of CO…",5/9/2021 17:20,1.39144E+18,DarylOCooper,,,TRUE,2,0,en,covid-19
,@michaelmina_lab The COVID-19 virus continues to mutate into new strains. These more contagious versions are evolvi… https://t.co/EppanH3uMq,5/9/2021 17:20,1.39144E+18,walkabouttravel,,,FALSE,0,0,en,covid-19
,RT @NaveshChitrakar: A general view of burning pyres of those who died from the coronavirus disease (COVID-19) during a mass cremation at t…,5/9/2021 17:20,1.39144E+18,rosantweets,,Banana Republic of Nepal,TRUE,2,0,en,covid-19
,RT @ANI: Odisha CM Naveen Patnaik has sanctioned Rs 60 lakhs from CMRF to feed stray animals during COVID-19 lockdown in five municipal cor…,5/9/2021 17:20,1.39144E+18,AbanikantMalla,,"Bhubaneshwar, India",FALSE,1803,0,en,covid-19
,"RT @paranjoygt: After Kumbh, Uttarakhand Sees 1800% Jump in COVID-19 Cases https://t.co/L5zj5pxjQb",5/9/2021 17:20,1.39144E+18,dmurugeshan2,,"Bengaluru, India",FALSE,988,0,en,covid-19
,"RT @lesleyabravanel: Still waiting for your apology, #KimJongRon #DeathSantis? Florida reports more than 10,000 COVID-19 variant cases, sur…",5/9/2021 17:20,1.39144E+18,MNBonnie,,,TRUE,23,0,en,covid-19
,RT @INSIDER__NJ: Governor Murphy Announces $275 Million in Relief for Small Businesses and Individuals Impacted by COVID-19 Public Health C…,5/9/2021 17:20,1.39144E+18,TamiSkyeMars,,"New Jersey, USA",FALSE,1,0,en,covid-19
,RT @WashTimes: Dr. Fauci said America has had “practically a nonexistent flu season this year” because of people getting used to wearing fa…,5/9/2021 17:20,1.39144E+18,sithkhan,,,FALSE,6,0,en,covid-19
