Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"@Louis_Tomlinson please louis, postpone it to 2023. fans from all around the world who wants to go to your first so… https://t.co/OBIFhIdHXG",2021-05-10 16:50:30,1391797807095468041,suelabadway,,inferno de vv,True,0,0,en,pandemic
,"RT @juliacarriew: ""Since the pandemic began, Fatima Ahmed has lost 29 of her family members in India and one in the US to Covid-19.""

Heart…",2021-05-10 16:50:30,1391797806604726279,north_easton,,Iowa,False,10,0,en,pandemic
,"RT @rkmbelurmath: Ramakrishna Mission Jhargram has conducted a Blood donation camp, as the corona pandemic has severely affected the availa…",2021-05-10 16:50:30,1391797806235410436,AmitSen9333,,Burnpur,False,10,0,en,pandemic
,Now that the #ANCNEC is over can they please go back to the National Coronavirus Command Council to manage the pand… https://t.co/35sJS9mhyC,2021-05-10 16:50:29,1391797805094776838,mmt_masupha,,"Johannesburg, South Africa",True,0,0,en,pandemic
,Here is where the real emphasis on being employed matters as without work and without SAAS funding how are we expec… https://t.co/2SvzTcAusc,2021-05-10 16:50:29,1391797805052739589,b_dm_nz,,,True,0,0,en,pandemic
,"RT @kylegriffin1: AP-NORC poll:

63% of U.S. adults approve of Biden's overall performance

71% approve of Biden's handling of the pandemic…",2021-05-10 16:50:29,1391797804108980227,jayflo562,,"Long Beach, CA",True,739,0,en,pandemic
,"RT @SteveHofstetter: BREAKING: According to an AP Poll, 71% of Americans approve of the job president Biden is doing handling the pandemic.…",2021-05-10 16:50:29,1391797803983138816,ZEphotographic,,"Albuquerque, NM",True,29,0,en,pandemic
,"#saveboardstudents 
#saveboardstudents 
@PMOIndia 
@DrRPNishank 
CBSE should understand that if they  conduct offli… https://t.co/4A4QN3DDt6",2021-05-10 16:50:29,1391797802846494721,Shivdeep_786,,,False,0,0,en,pandemic
,"everything’s well in the world now. 
the pandemic is over. 
NICKI IS COMING https://t.co/1urS8JSViQ",2021-05-10 16:50:28,1391797801558765568,andromedaschoir,,she/her,False,0,0,en,pandemic
,"RT @thewire_in: Varanasi has so far recorded 72,477 cases of the coronavirus infection and about 700 deaths. It is the parliamentary consti…",2021-05-10 16:50:28,1391797801143525377,hash62,,"Bombay, India.",True,1056,0,en,pandemic
,RT @thebigtracey: @PopBase NICKI IS COMING TO SAVE US FROM THE PANDEMIC,2021-05-10 16:50:28,1391797800799817741,blvckroyaltea,,He/Him,False,1,0,en,pandemic
,"RT @ErieNotEerie: 47% of Republicans approve of President Biden’s handling of the pandemic. 

The other 53% believe injecting bleach will c…",2021-05-10 16:50:28,1391797800766160898,chris0s,,Washington DC,False,53,0,en,pandemic
,"@soutikBBC @geetapandeyBBC Yes, this was terrible but so were the farmers's protests that went on unabated for week… https://t.co/DoWSJVxlpl",2021-05-10 16:50:28,1391797800103464968,VocalistLavanya,,"Florida, USA",False,0,0,en,pandemic
,"RT @leilamechoui: Weird how governments have found trillions to subsidize losses of small and big business during this “pandemic”, and yet…",2021-05-10 16:50:28,1391797799960948749,Sebostrange,,"Montreal, QC",False,3,0,en,pandemic
,"RT @DCPNEastDelhi: Good News Amidst The Pandemic 

At pipping ceremony presenting epaulettes to Inspr. Ved Prakash, SHO Dayalpur who has be…",2021-05-10 16:50:28,1391797799272910849,AnandYa61553110,,,False,36,0,en,pandemic
,RT @PalmerReport: New polling says that even 47% of Republicans now approve of how President Biden is handling the pandemic.,2021-05-10 16:50:28,1391797799080103941,GardeniaCoast,,United States,False,305,0,en,pandemic
,"RT @joncoopertweets: When will there be a class action lawsuit against Fox News for their constant lies about the pandemic, which has led t…",2021-05-10 16:50:28,1391797798857678848,TerryHu21714102,,,False,133,0,en,pandemic
,"RT @BJP4India: BJP karyakartas continue to serve the society during COVID-19 pandemic.

BJP karyakartas are distributing food packets and r…",2021-05-10 16:50:27,1391797796311683074,HARENDR21921303,,jogither,True,174,0,en,pandemic
,"RT @mtlgazette: People are reporting dry, flakey hands amid the COVID-19 pandemic.  https://t.co/2gN5uCzVdg

— via @healthing_ca",2021-05-10 16:50:27,1391797795796004875,TheJamesonShow,,Montreal • NYC • NJ,False,1,0,en,pandemic
,"RT @paimadhu: Merck, the company that makes Ivermectin, released this statement that more people should read:

""No meaningful evidence for…",2021-05-10 16:50:27,1391797795229769730,imunbodh198,,KZN,False,9,0,en,pandemic
,"RT @sharmanagendar: BREAKING : Uttarakhand High Court terms this year's Kumbh as a Covid super spreader in the country, which the state gov…",2021-05-10 16:50:27,1391797795128975360,NitniTamiL,,Chennai - India,False,2529,0,en,pandemic
,@DaynaOG I guess the pandemic will officially be over by September. 😬🤦‍♀️,2021-05-10 16:50:27,1391797793937715204,ChrisGeorgeKC,,near the middle,True,0,0,en,pandemic
,@SJK415 @IWTheDarkPrince @PoliticsForAlI Tories have enriched their mates and donors with 10s of billions during th… https://t.co/9t6x5HIKgm,2021-05-10 16:50:26,1391797793006706689,marclolshep,,,False,0,0,en,pandemic
,"@anya_bali Haha via pandemic, I’m on my 3rd job",2021-05-10 16:50:26,1391797792947933188,baublesnbraids,,"Portland, OR",True,0,0,en,pandemic
,"@gentlescorp @ClaudiaComedy thanks again, every time I see that video, emotionally in tears, brilliant!!   Brillian… https://t.co/2tunqARsuq",2021-05-10 16:50:26,1391797792415404040,dennis818655631,,,True,0,0,en,pandemic
,"@Crablegs59 Saw you before the pandemic hit in Knoxville, TN. Great show!!",2021-05-10 16:50:26,1391797792390086658,BarryHCain,,,True,0,0,en,pandemic
,"RT @kylegriffin1: AP-NORC poll:

63% of U.S. adults approve of Biden's overall performance

71% approve of Biden's handling of the pandemic…",2021-05-10 16:50:26,1391797791907741697,RyGor74,,Left side,False,739,0,en,pandemic
,RT @GenealogyBeech: We were recently delighted to welcome the new Mayor for West Yorkshire Tracy Brabin to Queen’s Mill. The heritage and v…,2021-05-10 16:50:26,1391797790225977353,GrandmaAbson,,"Yorkshire, UK",False,2,0,en,pandemic
,"RT @PrajwalBusta: Requesting to @yogrishiramdev ji to dedicate this vacant building of Patanjali for Covid Care Centre.

It will be a great…",2021-05-10 16:50:26,1391797789835677697,RSS2810,,"New Delhi, India",False,238,0,en,pandemic
,"RT @paimadhu: Merck, the company that makes Ivermectin, released this statement that more people should read:

""No meaningful evidence for…",2021-05-10 16:50:25,1391797788434829318,cyrilsam,,India,False,9,0,en,pandemic
,And during the pandemic... https://t.co/IJeNjdj11s,2021-05-10 16:50:25,1391797787264696320,ItzelEguiluz,,Por momentos en este planeta,True,0,0,en,pandemic
,@UrbanAchievr @Timodc @JVLast Some historians believe the 1918 flu pandemic was spread by our troops. Hit the battl… https://t.co/K4UZv1sQRH,2021-05-10 16:50:25,1391797786828427264,WyldKR,,"Mountain West, Earth",False,0,0,en,pandemic
,RT @classiclib3ral: Maybe it's best if we just never go back to doing handshakes again when the pandemic is over https://t.co/S0tk2MT0lW,2021-05-10 16:50:25,1391797786329468938,captaintrainor,,Ireland,False,2201,0,en,pandemic
,RT @washingtonpost: Hundreds of bodies of covid-19 victims are still in New York’s refrigerated trucks more than a year into the pandemic h…,2021-05-10 16:50:25,1391797786027331588,sumitrana1,,INDIA,True,1811,0,en,pandemic
,"RT @JFKtheone: 47% of Republicans approve of Biden's handling of the pandemic.

The remaining 53% are still watching Fox News! https://t.co…",2021-05-10 16:50:25,1391797786027331585,FrederickJRutl1,,"Jacksonville, FL",True,215,0,en,pandemic
,"RT @sharmanagendar: BREAKING : Uttarakhand High Court terms this year's Kumbh as a Covid super spreader in the country, which the state gov…",2021-05-10 16:50:25,1391797785830121473,Agreddynarayan,,"Narayanpur, Bengaluru South",False,2529,0,en,pandemic
,"RT @ModernMetalsMag: Great Lakes steel production rose by 5,000 tons last week, while U.S. steel mills remained close to 80% of capacity, a…",2021-05-10 16:50:25,1391797785540710400,IQGroupMumbai,,"Mumbai, India",True,1,0,en,pandemic
,"RT @mmpadellan: I am proud to be one of the 71% of Americans who approve of the job President Biden is doing to address the pandemic, and d…",2021-05-10 16:50:24,1391797784702070784,Weezie2466,,"Wisconsin, USA",False,10,0,en,pandemic
,@LeeMac19871611 @BrianPallister A government thelogically against public works can't serve the public.  Conservativ… https://t.co/Fyaf3YcKQD,2021-05-10 16:50:24,1391797784437612544,SolielEtLaLune,,,False,0,0,en,pandemic
,"RT @kylegriffin1: AP-NORC poll:

63% of U.S. adults approve of Biden's overall performance

71% approve of Biden's handling of the pandemic…",2021-05-10 16:50:24,1391797784378896391,msalgado57,,"anaheim,CA",True,739,0,en,pandemic
,"RT @DEMS_R_GOP: The consent-manufacturing machine is raging like never before and the motherfucker who wrote ""manufacturing consent"" is tel…",2021-05-10 16:50:24,1391797784374824969,peacepumpkinpic,,"Toronto, Canada",False,28,0,en,pandemic
,RT @ShivAroor: Hundreds of bodies of Covid19 victims are still in New York’s refrigerated trucks more than a year into the pandemic https:/…,2021-05-10 16:50:24,1391797783313752067,mukeshkjaat,,,False,2020,0,en,pandemic
,RT @estradiol420: This fund supports a family in Gaza that has been living in poverty — in the midst of an ongoing pandemic and continuous…,2021-05-10 16:50:24,1391797783099674634,tetefangz,,no they/them. carrd byf,False,363,0,en,pandemic
,RT @AmyAThatcher: 47% of Republicans approve of how Biden is handling the pandemic. That means 53% still have their heads up Tucker Carlson…,2021-05-10 16:50:24,1391797782663647245,OleanderNectar,,,False,112,0,en,pandemic
,.@sanchezcastejon @AndrejPlenkovic @JustinTrudeau @jacindaardern  @MoFAICUAE @erna_solberg thank you 👏  👏 for all o… https://t.co/WnHERARW9t,2021-05-10 16:50:24,1391797781942185984,BriannaBrodrec1,,,False,0,0,en,pandemic
,"RT @uk_domain_names: ""UK economy to suffer £700bn output loss due to Covid and Brexit, thinktank warns

NIESR says UK facing worse permanen…",2021-05-10 16:50:24,1391797781354979333,Dervlen,,"Vienne, France / ecosse ",True,4,0,en,pandemic
,"RT @NYTScience: “So many people define me by my transgender identity. But then when it finally comes down to it, they don’t actually care t…",2021-05-10 16:50:23,1391797780881022980,Julianka8265,,New England,True,1,0,en,pandemic
,RT @Mirchi9: The gentleman in the video is Telangana Chief Secretary and he is answering an important question in the middle of a Pandemic.…,2021-05-10 16:50:23,1391797780100878342,SaiPras18415192,,,False,71,0,en,pandemic
,"RT @mmpadellan: I am proud to be one of the 71% of Americans who approve of the job President Biden is doing to address the pandemic, and d…",2021-05-10 16:50:23,1391797778733535232,LaBoomer68,,God's Country,False,10,0,en,pandemic
,RT @CBSDenver: Many Pandemic Pets In Colorado Need Fur-ever Homes… Again https://t.co/L8bVXU8VzY https://t.co/5iYlDfflj0,2021-05-10 16:50:23,1391797778716712974,jessirj,,"Colorado, USA",False,31,0,en,pandemic
,"RT @kylegriffin1: AP-NORC poll:

63% of U.S. adults approve of Biden's overall performance

71% approve of Biden's handling of the pandemic…",2021-05-10 16:50:23,1391797778548940800,JaneSepmeier,,United States,False,739,0,en,pandemic
,"RT @piersmorgan: BREAKING: Zero new covid deaths reported in England, Scotland &amp;  Northern Ireland today. 
Yes, ZERO.
A great moment for al…",2021-05-10 16:50:23,1391797777005490179,Robbiewad79,,,True,1387,0,en,pandemic
,"RT @Thomas1Ingrame: To summarise , SNP voters have condoned the following - grooming  of children , tore up woman’s rights , discarded our…",2021-05-10 16:50:22,1391797775814336517,teamgriffiths,,"Glasgow, Scotland",False,120,0,en,pandemic
,"@boredomhaven the layout is perfection!💛 
evie my california babe! girl when this pandemic ends we should meet up!… https://t.co/Vr6PDpQYv0",2021-05-10 16:50:22,1391797775478624258,koredakota,,"los angeles, ca",False,0,0,en,pandemic
,"RT @TraceyBleakley: With deaths at home and in the community rising by over 1,000 a week during the pandemic, here’s my take on the questio…",2021-05-10 16:50:22,1391797774887358470,DyingMatters,,"London, England",True,2,0,en,pandemic
,Welcome back the girlies have been causing another pandemic with the music they’re releasing lately 😭😭😭 https://t.co/NLcve4jQcu,2021-05-10 16:50:22,1391797774648238080,Accra_brunette,,,False,0,0,en,pandemic
,"RT @THEKIDMERO: PANDEMIC HAD ME SHOWERING EXTRA, NIGGA I WAS SOAKING IN EPSOM SALTS AND SHIT I NEVER REALLY DO YALL ARE NUTS",2021-05-10 16:50:22,1391797774308478984,Raoul_Duke_West,,Milkyway Galaxy,False,15,0,en,pandemic
,Did 71 percent of Americans not realize nothing has changed in terms of handling the pandemic? https://t.co/ky2yAc94cS,2021-05-10 16:50:22,1391797774031761416,tonysopranostan,,Gotham City ,True,0,0,en,pandemic
,RT @KimZetter: This creates a new prob: the US currently has shortage of fuel tank drivers. 25% of fuel trucks currently sit unused due to…,2021-05-10 16:50:22,1391797773859762182,JMC31337,,DarkNet,False,38,0,en,pandemic
,"RT @kylegriffin1: AP-NORC poll:

63% of U.S. adults approve of Biden's overall performance

71% approve of Biden's handling of the pandemic…",2021-05-10 16:50:22,1391797773637279747,GeekyPaul,,"Orange County, CA",True,739,0,en,pandemic
,"RT @pookleblinky: Restaurants that fired workers this time last year aren't really complaining about being able to find new workers. 

They…",2021-05-10 16:50:21,1391797772454608902,sleebybitche,,,True,559,0,en,pandemic
,"RT @JonLemire: NEW AP-NORC poll: Biden’s overall approval rating sits at 63%.

When it comes to the new Democratic president’s handling of…",2021-05-10 16:50:21,1391797772353998852,kgillespie731,,"Virginia, USA",False,983,0,en,pandemic
,"RT @SEMIconex: Join us for a Free Webinar!  Register at https://t.co/Rl8N9sb7pn
#semiconductor #chipshortage #covidrecovery https://t.co/7r…",2021-05-10 16:50:21,1391797772144234496,RandyKatesATL,,"Atlanta, USA",True,1,0,en,pandemic
,"RT @jon_trickett: During the pandemic: 

• UK Billionaire wealth grew 35%
• UK Foodbank use grew 33%",2021-05-10 16:50:21,1391797771729047564,OllieMUFCHall,,"Loughborough, England",True,1792,0,en,pandemic
,RT @SalmanNizami_: Israel’s repeated attacks on Al Aqsa mosque is an attack on our souls and hearts. The brave people of Palestine have our…,2021-05-10 16:50:21,1391797770839748612,MdNayee89770641,,,False,226,0,en,pandemic
,"RT @CTVToronto: Ontario has been advised to ""stay the course"" with the province’s pandemic restrictions, which could see the stay-at-home o…",2021-05-10 16:50:21,1391797770315567113,MichelleCliffe,,Toronto,False,3,0,en,pandemic
,"RT @esinclairwebb: On 11 May, the Istanbul Convention celebrates its 10th anniversary. Despite huge rise in domestic violence during Covid1…",2021-05-10 16:50:21,1391797769053036547,HerrnHope,,"Bilemiyorum, Deutschland.",False,26,0,en,pandemic
,"RT @piersmorgan: BREAKING: Zero new covid deaths reported in England, Scotland &amp;  Northern Ireland today. 
Yes, ZERO.
A great moment for al…",2021-05-10 16:50:21,1391797768633524225,piyush_mahamuni,,india,True,1387,0,en,pandemic
,"RT @sharmanagendar: BREAKING : Uttarakhand High Court terms this year's Kumbh as a Covid super spreader in the country, which the state gov…",2021-05-10 16:50:20,1391797768381898755,vachasrap,,,True,2529,0,en,pandemic
,It Took a Pandemic to Make TV Dinners Truly Delicious #foodRecipe https://t.co/V2rlcZiq6T,2021-05-10 16:50:20,1391797768189095941,MeenaBhatiya,,,False,0,0,en,pandemic
,RT @restlessnetwork: @alyamooro is mourning her post-pandemic imaginary self and explores setting expectations for who we are and not who w…,2021-05-10 16:50:20,1391797767002071043,alyamooro,,London via Egypt,True,1,0,en,pandemic
,"RT @joncoopertweets: President Biden has an overall approval rating of an impressive 63%, according to a new AP-NORC poll. When it comes to…",2021-05-10 16:50:20,1391797766708293635,griswold_lynn,,"Colorado, USA",True,373,0,en,pandemic
,"RT @fireyfemme: Update: Trudeau hating covid denier old coworker who now believes in covid cuz her kid got it last week, seeks pity on her…",2021-05-10 16:50:20,1391797766163091463,sarah_moroz,,,False,49,0,en,pandemic
,"RT @ishafoundation: During these challenging times of a global pandemic, having a robust immunity and well-functioning respiratory system i…",2021-05-10 16:50:20,1391797765097725954,pmanghnani15,,ulhasnagar,False,232,0,en,pandemic
,RT @ZackSnyder: I’ve joined hands with Save The Children to help Delhi fight the pandemic. They are working to build a temporary hospital f…,2021-05-10 16:50:20,1391797765047570432,MyLove_OfMusic,,anywhere I can listen to music,False,1662,0,en,pandemic
,"RT @thewire_in: Varanasi has so far recorded 72,477 cases of the coronavirus infection and about 700 deaths. It is the parliamentary consti…",2021-05-10 16:50:19,1391797763600355333,JyothiRajesh4,,"mumbai, india ",True,1056,0,en,pandemic
,"Gruesome factory farms are pumping animals full of antibiotics, helping to create vicious new superbugs -- but now… https://t.co/RFAiVwXQbr",2021-05-10 16:50:19,1391797763432718347,mynefeli,,Athens,False,0,0,en,pandemic
,@NotHygiene This has been a problem for many. Mostly stems from stress and unregulated hormonal turmoils caused due… https://t.co/4oZbS1GV32,2021-05-10 16:50:19,1391797763059314694,pleb_talks,,Kolkata ,True,0,0,en,pandemic
,RT @washingtonpost: Anthony Fauci said it is “conceivable” that people might decide to wear masks seasonally to diminish the possibility of…,2021-05-10 16:50:19,1391797761750671374,thomasmarinojr,,vancouver bc canada,False,931,0,en,pandemic
,"RT @mrandysummers: Whoop! We’re off! Super great to see this wonderful programme out there.

Thank you to the brilliant @ArchiFringe team 💛…",2021-05-10 16:50:19,1391797761629118468,HarryWhitmore,,"Edinburgh, Scotland",False,3,0,en,pandemic
,"RT @GodwinMackafui: 4 Year stretch coming to an end! Studying Construction Engineering Management hasn’t been easy, especially through this…",2021-05-10 16:50:19,1391797761448763393,hueyr100,,London,False,16,0,en,pandemic
