Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"RT @priyankagandhi: PM’s new residence &amp; Central vista cost 
= Rs 20,000 cr 
= 62 crore vaccine doses 
= 22 crore Remdesvir vials
= 3 crore…",2021-05-10 17:24:14,1391806299587837952,fahim_sutriwala,,,False,7328,0,en,vaccine
,"RT @brianklaas: Zero new covid deaths reported in England today.

Zero.

There were plenty of people and governments who denigrated the Oxf…",2021-05-10 17:24:14,1391806299202011140,Kozlika,,Paris,False,59,0,en,vaccine
,RT @KenHaddad: 💉🧵Still need a vaccine in Michigan? Here are some of your best options today and this week: (5/10),2021-05-10 17:24:14,1391806298132340739,SierraStanton10,,Disneyland ,False,76,0,en,vaccine
,"RT @DoctorLFC: Bollywood: VACCINE EQUITY!

Also, Bollywood: We will hog the precious few drive-through vaccination slots available in Mumba…",2021-05-10 17:24:14,1391806297591353346,5CR00G3_MCDUCK,,,False,12,0,en,vaccine
,RT @FQgrl: #Wyoming Gov. Mark Gordon issued a directive to ban so-called COVID-19 “vaccine passports”,2021-05-10 17:24:14,1391806295800430598,MilitaryNana89,,,False,1,0,en,vaccine
,"RT @KUOW: In Pierce and Snohomish, men are less likely than women to get the covid vaccine, according to those counties' public health depa…",2021-05-10 17:24:14,1391806295569694721,BTTBBrack,,,False,2,0,en,vaccine
,"RT @priyankagandhi: PM’s new residence &amp; Central vista cost 
= Rs 20,000 cr 
= 62 crore vaccine doses 
= 22 crore Remdesvir vials
= 3 crore…",2021-05-10 17:24:13,1391806295037005830,SB35958631,,,False,7328,0,en,vaccine
,"RT @SenDuckworth: We’ve made great improvements, but we’re not yet on the other side of this pandemic. I’m proud of the work @MadisonCHD, @…",2021-05-10 17:24:13,1391806294781317126,Fitzmurphy1,,,False,20,0,en,vaccine
,"RT @jitengajaria: A senior citizen was denied a much needed vaccine due to woke liberal @FarOutAkhtar. Shame on you Farhan.
 https://t.co/u…",2021-05-10 17:24:13,1391806294089109508,Cawnporiaah,,अनंत,False,792,0,en,vaccine
,RT @georgehahn: You guys… don’t blow off the 2nd dose of the vaccine!!! The upgrades from the first dose are lit. #GetVaccinated https://t.…,2021-05-10 17:24:13,1391806293929697281,detaylsjewelry,,"San Carlos, CA",False,70,0,en,vaccine
,RT @LunghealthDoc: No vaccine for 12 year old. Only 18+ https://t.co/VEdj1Vzq2h,2021-05-10 17:24:13,1391806293657067520,Berlinshelby321,,,True,6,0,en,vaccine
,More such initiatives should be encouraged. Any method to keep people seeking vaccine from crowding into closed spa… https://t.co/07SJtK3rg7,2021-05-10 17:24:13,1391806293267161092,calm_sutra,,"Zurich, Switzerland",True,0,0,en,vaccine
,"RT @BreitbartNews: Sen. Ron Johnson: ""Nobody should be forced or coerced or pressured into taking a vaccine if they don’t want to. This is…",2021-05-10 17:24:13,1391806292856037378,trisagoras,,PA,False,1130,0,en,vaccine
,"RT @KEdge23: When it comes to the vaccine, the UK CONSERVATIVE Government secured the vaccines, procuring millions of doses for the entire…",2021-05-10 17:24:13,1391806291920789508,LangridgeWendi,,,False,22,0,en,vaccine
,@pkaitkay @SidShirole @vishalp2000 I think we missed the plot here vaccine was divided equally we are over populate… https://t.co/5bObnt0s1K,2021-05-10 17:24:13,1391806291874439168,Karan_Gopalani,,"Mumbai, India",True,0,0,en,vaccine
,@bsajith1 @TheRealPoller @MeghUpdates Disease is more dangerous than the covid vaccine.,2021-05-10 17:24:12,1391806289651531778,FaceLessOK,,Ghar Baar nahin Sansar nahi..,True,0,0,en,vaccine
,"RT @TBDHealthUnit: Starting tomorrow (May 11) at 8AM, Group 2 essential workers and those with “at risk” health conditions will be able to…",2021-05-10 17:24:12,1391806289337102342,thatmoose9,,,False,11,0,en,vaccine
,Odisha Cabinet Chaired by CM Naveen Patnaik Approves Global Tender To Procure COVID-19 Vaccines… https://t.co/hJ2dhmCOxp,2021-05-10 17:24:12,1391806288690966534,latestly,,"Mumbai, India",True,0,0,en,vaccine
,"RT @TheDemCoalition: If there's a competition among Senate Republicans to see who can be the most irresponsible about the pandemic, knuckle…",2021-05-10 17:24:12,1391806287453859845,Skel531,,USA,False,3,0,en,vaccine
,RT @VaxHuntersCan: [ON] If you are a vaccine administrator who's able to give dose #2 to people who are medically eligible or are eligible…,2021-05-10 17:24:12,1391806287437082624,SukumaarMane,,Toronto/ पुणे,False,7,0,en,vaccine
,RT @andrewbostom: Healthy 17yo Utah HS basketball player hospitalized in ICU after developing 3 cerebral thromboses ~10 days after receivin…,2021-05-10 17:24:12,1391806287428599812,Cari50194890,,,True,329,0,en,vaccine
,"@TheresaHernandz @playstaystion @JFKtheone Trump left office with 390,000 deaths lmao. Biden is currently at 580,00… https://t.co/7XKVvXTmrJ",2021-05-10 17:24:11,1391806286539501570,im_educated_,,,False,0,0,en,vaccine
,"RT @himantabiswa: COVID-19 vaccine &amp; coverage status of Assam as on 10.05.21

Grand total doses administered till date 31,18,900 (&gt;45 &amp; 18-…",2021-05-10 17:24:11,1391806285515870213,IchbinDesi,,Xenoverse,False,71,0,en,vaccine
,"RT @SenSchumer: We delivered $250 million in funds for local vaccine outreach, education, and awareness.

I want the community groups doing…",2021-05-10 17:24:11,1391806284928667648,SherriEngh,,,False,65,0,en,vaccine
,Day 28. Had a very bad night waking up at 2:38am with my head pounding. Had to take more Tylenol And also more at 8… https://t.co/EDWUeUHd2z,2021-05-10 17:24:11,1391806284366860288,Simba_JB1969,,Searching for intelligent life,False,0,0,en,vaccine
,"RT @Iamramiya: Modi Govt sent 6.5 crore vaccine doses to 93 countries in last 3 months 

Meanwhile 1 Lakh+ Indians have died, and Central G…",2021-05-10 17:24:11,1391806283892678659,satishkolkunda,,"Toronto, Canada ",False,67,0,en,vaccine
,"“If you STILL think that the Vaccine alters your DNA, then consider it an opportunity...” hahahah right? Good one by @jimineedles",2021-05-10 17:24:11,1391806283007754243,olgachaim,,"La Jolla, San Diego",True,0,0,en,vaccine
,"RT @doctorsoumya: I have been misquoted. I said B1.617 is more transmissible, based on which it is a VOC. There is no data on its impact on…",2021-05-10 17:24:10,1391806282303164423,Madhuka53506252,,,False,359,0,en,vaccine
,"For international students, this could mean that colleges will only accept COVID-19 vaccines approved by the World… https://t.co/i9m2hG3jAn",2021-05-10 17:24:10,1391806282156359685,CarlsbadPatch,,"Carlsbad, CA",False,0,0,en,vaccine
,@piersmorgan I do not believe the reports that the government give out on the vaccine and on the deaths I don’t believe their results,2021-05-10 17:24:10,1391806281686474753,nissan60,,Southampton,True,0,0,en,vaccine
