Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"RT @Fouziarauf4: The 2019 Corona named COVID-19, is the 3rd serious Coronavirus outbreak,following SARS in 2002 &amp; MERS in 2012.2012 virus i…",2021-05-13 17:14:10,1392890927123812355,theDGfactor,,Mumbai / Dubai / Kathmandu,True,48,0,en,corona virus
,"RT @Peacelife_BTS: Nepal is in serious need of help rn, we are small no of people in twitter. We can't trend anything, or reach to many in…",2021-05-13 17:14:07,1392890916961017860,jinagaqi,,probably binge-📖/📺,False,88,0,en,corona virus
,"RT @suniketroy: #राधे_फिल्म_का_बहिष्कार_करो 
Did AU Bhatt Plan SSR Murder
One of the oldest variant of corona virus is bollywood 💀 https://…",2021-05-13 17:14:05,1392890905003134976,smartcat05,,,False,155,0,en,corona virus
,RT @soundaryaarajni: Our Thalaivar gets his vaccine 👍🏻 Let us fight and win this war against Corona virus together #ThalaivarVaccinated #To…,2021-05-13 17:14:01,1392890889572257797,Vamshiram19,,india,False,4090,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:52,1392890850649288704,Younisali94,,,False,26,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:50,1392890842717769736,JaceCollins11,,,False,26,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:50,1392890842566778883,jeevan12588933,,,False,26,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:49,1392890839651782657,SubashS78999907,,,False,26,0,en,corona virus
,"RT @GauravPandhi: ""Corona virus is a living being and every living creature has a right to live"", says BJP leader and Ex Uttarakhand CM Tri…",2021-05-13 17:13:49,1392890838909263873,hamdansayedinc,,karnataka ,True,102,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:48,1392890835340042240,Shaikhzohra9,,,False,26,0,en,corona virus
,RT @Johny_mera_name: This is a dispensary set up by a skunk named Kejriwal. Everything is free here including Corona virus. Please do visit…,2021-05-13 17:13:41,1392890808206979074,ADShah30,,Bharatvarsha,True,119,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:31,1392890765718736898,NicoleRBrazil,,United States,False,26,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:31,1392890765022535681,MerryChild6,,,False,26,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:31,1392890762623344649,Ahmed05813392,,"القليوبية, مصر",False,26,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:28,1392890750183030784,Rahulso04321295,,,False,26,0,en,corona virus
,"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-13 17:13:25,1392890738384547850,KathySawer,,,False,26,0,en,corona virus
