Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,@politico The time will come when the responsibility for not having been vaccinated will fall on the citizen to suc… https://t.co/RnQE4xemeh,5/13/2021 18:29,1.39291E+18,KennedyOrtiz8,,,FALSE,0,0,en,covid-19
,"RT @KashmiriPandit7: COVID-19 tests positive for Secularism !!

Spreads in Hindu Crowds at Haridwar but not in Minority Crowds at Hyderabad.",5/13/2021 18:29,1.39291E+18,BuntyVSK,,Hyderabad,FALSE,68,0,en,covid-19
,"RT @KashmiriPandit7: COVID-19 tests positive for Secularism !!

Spreads in Hindu Crowds at Haridwar but not in Minority Crowds at Hyderabad.",5/13/2021 18:29,1.39291E+18,msjaisingani,,India,FALSE,68,0,en,covid-19
,"WHO panel calls COVID-19 a ""preventable disaster,"" details steps to get out of it and avoid another pandemic - CBS… https://t.co/yHbZso7oaI",5/13/2021 18:29,1.39291E+18,rikkijklieman,,"New York, NY",FALSE,0,0,en,covid-19
,"RT @bhrenton: In easing the restrictions for fully vaccinated individuals, @CDCDirector is citing three studies showing the real-world effe…",5/13/2021 18:29,1.39291E+18,PacificChorus,,"Butte, MT",FALSE,3,0,en,covid-19
,"DATE - 12/5/21

1. Airtel Payments Bank launches 'DigiGold' platform for customers to invest in gold

2. Facebook p… https://t.co/uskudykjXg",5/13/2021 18:29,1.39291E+18,sparshgupta341,,"Haryana, India",TRUE,0,0,en,covid-19
,"400 white nurses shoes for 400 RNs who died while treating COVID-19 patients.
We don't deserve nurses. They are ama… https://t.co/z8paLE4OnW",5/13/2021 18:29,1.39291E+18,ATylerLCSW,,"Atlanta, GA",FALSE,0,0,en,covid-19
,"RT @nprpolitics: JUST IN: The CDC says anyone fully vaccinated against COVID-19 can safely resume activities indoors or outdoors, in gather…",5/13/2021 18:29,1.39291E+18,Forever4Hire,,,FALSE,103,0,en,covid-19
,"RT @MSNBC: Live on @MSNBC:

White House Covid-19 response team gives press briefing.

https://t.co/RdYLvfum24 https://t.co/xZ69RShM2U",5/13/2021 18:29,1.39291E+18,sheltgarner,,"Richmond, Virginia",TRUE,12,0,en,covid-19
,"RT @scotgov: You should not travel to countries on the red or amber lists unless it is for an essential purpose.

Before planning any trave…",5/13/2021 18:29,1.39291E+18,ptonpc,,Scotland UK,FALSE,13,0,en,covid-19
,"RT @cnnbrk: It's OK to go without a mask indoors, or outdoors, if you have been vaccinated against Covid-19, the CDC says https://t.co/C6sp…",5/13/2021 18:29,1.39291E+18,a_ricker,,"San Antonio, TX",TRUE,229,0,en,covid-19
,RT @NHSuk: Take a rapid Covid-19 test twice a week and show you’re doing what you can to protect your loved ones.,5/13/2021 18:29,1.39291E+18,jackieclevett,,Southampton,TRUE,60,0,en,covid-19
,“[B]oth women and men have reported sexual and reproductive system symptoms following a Covid-19 infection.”… https://t.co/5SmwFEsgXU,5/13/2021 18:29,1.39291E+18,kilonova_gold,,DC/MD,FALSE,0,0,en,covid-19
,RT @CNN: BREAKING: Updated CDC guidance says people fully vaccinated against Covid-19 do not need to wear masks or practice social distanci…,5/13/2021 18:29,1.39291E+18,aarondukess,,"Los Angeles, CA",TRUE,202,0,en,covid-19
,RT @CNN: BREAKING: Updated CDC guidance says people fully vaccinated against Covid-19 do not need to wear masks or practice social distanci…,5/13/2021 18:29,1.39291E+18,imranakhtarshah,,Pakistan,TRUE,202,0,en,covid-19
,"RT @cnnbrk: It's OK to go without a mask indoors, or outdoors, if you have been vaccinated against Covid-19, the CDC says https://t.co/C6sp…",5/13/2021 18:29,1.39291E+18,YaSoldMe,,"Houston, TX",FALSE,229,0,en,covid-19
,"RT @NCICNHS: #DoYourBit and keep A&amp;E free for serious emergencies 🚨

A&amp;E is not for COVID-19 tests. If you have symptoms, you need to self…",5/13/2021 18:29,1.39291E+18,Kathlhughes,,"Carlisle, Cumbria ",TRUE,8,0,en,covid-19
,"RT @nprpolitics: JUST IN: The CDC says anyone fully vaccinated against COVID-19 can safely resume activities indoors or outdoors, in gather…",5/13/2021 18:29,1.39291E+18,hunter_blaeser,,1600 Penn,TRUE,103,0,en,covid-19
,"RT @techreview: Was the covid-19 pandemic caused by a laboratory accident? A year ago, this idea was denounced as a conspiracy theory. Now,…",5/13/2021 18:29,1.39291E+18,TheSeeker268,,,FALSE,25,0,en,covid-19
,RT @thewire_in: The Allahabad high court on Wednesday directed the Yogi Adityanath government to respond to the allegations of mismanagemen…,5/13/2021 18:29,1.39291E+18,Terenceadesouza,,"Goa, India",FALSE,280,0,en,covid-19
,"RT @cnnbrk: It's OK to go without a mask indoors, or outdoors, if you have been vaccinated against Covid-19, the CDC says https://t.co/C6sp…",5/13/2021 18:29,1.39291E+18,doggiemomx3,,"Wichita, KS",TRUE,229,0,en,covid-19
,"RT @AmericanCancer: Starting today, you can make donations to the American Cancer Society with @dogecoin! Your #cryptocurrency 🪙donation is…",5/13/2021 18:29,1.39291E+18,kimmyvega,,"Quito, Ecuador",TRUE,4681,0,en,covid-19
