text,date,user,location,keyword
"RT @Monireh68: With the announcement of the establishment of the lsrael , Arab countries came to Palestine to prevent its occupation, but ,…",2021-05-14 18:00:21,Saman88547561,,corona virus
"Current Conditions for #Sayre PA
Temp: 69.4F
Wind Chill: 69.4F
Humidity: 37%
Dew Point: 41.8F 
Barometer: 30.290 in… https://t.co/2GCy3CZFtd",2021-05-14 18:00:01,CountyBradford,"Sayre, PA",corona virus
RT @Marco_Acortes: Corona virus....its coming,2021-05-14 17:59:57,Yashm1111,मुंबई l Mumbai l મુંબઈ,corona virus
"I am fully vaccinated with proof of vaccination.

Plus had &amp; recovered from Corona Virus.

 I have done exactly as… https://t.co/j0oIXDBEeY",2021-05-14 17:59:31,UMADBRO2587,My 🏠,corona virus
"RT @GauravPandhi: ""Corona virus is a living being and every living creature has a right to live"", says BJP leader and Ex Uttarakhand CM Tri…",2021-05-14 17:59:06,iNeelesh,Towers,corona virus
RT @LawrenceSellin: There is massive infiltration of U.S. virus research programs by the Chinese Communist Party and the People's Liberatio…,2021-05-14 17:59:00,oyiToxLsEDgKJfL,"Chatswood, Sydney",corona virus
"RT @MayorOfLA: Our Latino communities have been hit hard by COVID-19, but juntos, con @PepeAguilar, @AngelaAguilar__, @LAguilarOficial @ang…",2021-05-14 17:58:56,jeffreymillman,"Los Angeles, CA",corona virus
"RT @kumailaabdi7706: Ayatollah Khamenei: 
Today, the world is counting the number of victims of the Corona virus, but why does no one want…",2021-05-14 17:58:56,NoorulJafri,,corona virus
"RT @OnlineRajiniFC: Our Thalaivar gets his vaccine 👍🏻
 Let us fight and win this war against Corona virus together

 #ThalaivarVaccinated #…",2021-05-14 17:58:51,Fihaas4,,corona virus
"RT @j_garima_j: They're one step away from jailing people trying to cure the disease. Virus ke bhi to rights hote hain.
#Corona https://t.c…",2021-05-14 17:58:49,anujkarol,Singapore,corona virus
RT @scpphicpoets: hello everyone. please rt #HelpNepal tweets so that it can reach a bigger audience. Nepal needs help. https://t.co/3Vl9Nt…,2021-05-14 17:58:35,jackiiewelles,19 • vg twt • read 📌 byf,corona virus
Muslim scientists should create a new organic virus like Corona.  Or we will take steps to produce such a virus.,2021-05-14 17:58:32,XmanAlvi3,Bangladesh,corona virus
RT @LawrenceSellin: BREAKING EXCLUSIVE: Uncovered – A Direct Link Between the Chinese Military and a Major Pentagon-Funded Virus Research C…,2021-05-14 17:58:21,TamTender,,corona virus
You also could Today give PCR Tests to 100% of American People and well over 33% would have RNA Fragments of Corona… https://t.co/Sm4H17Isn6,2021-05-14 17:58:18,CoachesHotSeat,Atlanta - Boulder - Lake Tahoe,corona virus
"@craziestlazy Yes, Corona is dead, it's Covid now... and Kerala will kill that too, and then SpainVariant, then UKV… https://t.co/YMTLuNDqJ3",2021-05-14 17:58:01,TweetAmitKSingh,Amerikka,corona virus
RT @itsspee_gee_zw: Even Corona Virus has celebrated 1 year Anniversary but not me.😑😖,2021-05-14 17:57:41,covid19_alerts,"Westmont, IL",corona virus
"RT @MGH198261: Ayatollah Khamenei: Today, the world counts the number of victims of the Corona virus, but why does no one want to count the…",2021-05-14 17:57:41,covid19_alerts,"Westmont, IL",corona virus
RT @MissionOfQuran: listening on TV that more dangerous more transmissible variants of Corona virus have been detected in UK and India on w…,2021-05-14 17:57:40,ReemsView,Arabia,corona virus
"RT @rajesh_manwatkr: @drpsrocks @Mayayadavbjp @saffron_picker @HMOIndia "" Corona Virus has Right to Live ""

TRIVENDRA RAWAT, BJP
FORMER UTT…",2021-05-14 17:57:38,krodhit,,corona virus
"RT @Uppolice: You might ‘Cop a plea’ about venturing out unreasonably &amp; unprotected but the #Virus is unsparing for one and all !

#UPPCare…",2021-05-14 17:57:37,shravastipolice,,corona virus
"RT @craziestlazy: But according to Dhruv Rathi, Kerala had already defeated Corona virus 🤷‍♂️ https://t.co/AHYupAVMyX",2021-05-14 17:56:45,bihari_bhaiyya,,corona virus
"@kritisanon @LaraBhupathi @shayamal Your one smile can kill millions of corona virus. So keep smiling. 
Love you ❤️",2021-05-14 17:56:44,doctor86050074,,corona virus
"RT @suniketroy: #राधे_फिल्म_का_बहिष्कार_करो 
Did AU Bhatt Plan SSR Murder
One of the oldest variant of corona virus is bollywood 💀 https://…",2021-05-14 17:56:39,Heta1236,"Gujarat, India",corona virus
"@sambitswaraj @nanditathhakur Good that you have recovered and are home now. However, it is ""Corona Virus also know… https://t.co/eWg1MEeVTt",2021-05-14 17:56:31,gurusewaksingh,New Delhi,corona virus
"RT @jawharsircar: Beware of a new bacteria called Bhakteria that’s sweeping India worse than corona virus. 
It inflames the mind n destroys…",2021-05-14 17:56:13,dontstageit,"Gurgaon, India",corona virus
"@ainfhh @hfzhtdrk @Insanke37941236 @iAadiRaj @IDF You are bacteria and virus,
Actually u people are real corona virus",2021-05-14 17:56:04,mesanjeevhoon,,corona virus
@talktoharris1 @DPJHodges Yes and not everyone who contracts corona virus dies ?,2021-05-14 17:55:34,_lg_1972,,corona virus
@rodgrisier1958 They are using the corona virus to further the ideology of the govt teat and universal healthcare.… https://t.co/Ivf6o9uLOz,2021-05-14 17:55:23,BX825,"Fort Wayne, IN",corona virus
"@Chellaney And the CORRECT description of this horrendous virus would be... 

...the WUHAN CORONA VIRUS released by… https://t.co/BZsHCkX0W6",2021-05-14 17:55:19,asinharoy,in between jabs,corona virus
"RT @bg_syj: WE NEED HELP 🙏

Please help us reach international attention. The situation is getting out of hand. This a cry for help. Please…",2021-05-14 17:54:53,jennysrth,Nepal,corona virus
"RT @StartOfJourney: Pray for the people of India 

Thousands are dying daily from this deadly corona virus. May Allah Almighty remove this…",2021-05-14 17:54:52,Princess1Khushi,My home,corona virus
RT @soundaryaarajni: Our Thalaivar gets his vaccine 👍🏻 Let us fight and win this war against Corona virus together #ThalaivarVaccinated #To…,2021-05-14 17:54:52,mr_veraa_level,,corona virus
"A gentle appeal ;Do not use polythene bags for carrying milk, egg, bread, vegetable, fruits and medicine. You are b… https://t.co/UPwEor1AwE",2021-05-14 17:54:43,DrUdayRoman,"Bhopal, Madhya Pradesh, India ",corona virus
"RT @HiImNirupam: Please share this on your wall, IG, wherever else you can 
#helpnepal 

https://t.co/oFvbEScWpN",2021-05-14 17:54:40,jennysrth,Nepal,corona virus
RT @RatedEpicz: @Valkyrae Can this thing cure corona virus or help me meet the queen or improve your roleplay?,2021-05-14 17:54:40,HarryMedlar,,corona virus
"As a guy, you need to chop 30 different girls a year to help you immune system fight against Corona Virus 🦠..It has been approve",2021-05-14 17:54:35,ghana_ghs,,corona virus
RT @PiyushTweets1: Almost an year washed cause of China Virus. Our Stress level is directly proportional to the the increasing cases of Cor…,2021-05-14 17:54:18,sanghibwoy,North Sentinel Islands,corona virus
"Pray for the people of India 

Thousands are dying daily from this deadly corona virus. May Allah Almighty remove t… https://t.co/HZAvBBxxwy",2021-05-14 17:54:07,StartOfJourney,,corona virus
"RT @priyankac19: We have had such ‘wise men’ as BJP CMs of Uttarakhand. 
The former CM is advocating the right to life for Corona virus, th…",2021-05-14 17:53:52,arora_dharmveer,,corona virus
"RT @Peacelife_BTS: Nepal is in serious need of help rn, we are small no of people in twitter. We can't trend anything, or reach to many in…",2021-05-14 17:53:04,jennysrth,Nepal,corona virus
"Look at your mirror modi, you are the invisible enemy and real Corona virus of India @PMOIndia @narendramodi",2021-05-14 17:52:58,prafulkujur36,,corona virus
@LibrulAzzole @benigma2017 @ericisaac @Bl8knstuff2 It is also the first time we've come anywhere close to producing… https://t.co/jxsMVpDnFy,2021-05-14 17:52:41,Rahnaseeta,The Beth Collective,corona virus
RT @GeorgiaLogCabin: Corona virus lockdowns made things worse https://t.co/G69PhK37CG,2021-05-14 17:52:33,MXDforever,"Los Angeles, CA",corona virus
The world could explore Corona Virus vaccine forever.,2021-05-14 17:52:14,adventuremotive,,corona virus
RT @mee_jathiratnam: My ammamma called Corona virus a “Donga munda virus” and I guess we all can agree to that.,2021-05-14 17:52:02,Coder24k,,corona virus
"@cnnbrk 9/11 kills 3,00 instantly and we get Involved  in a 20 year war killing hundreds of thousands more. Corona… https://t.co/YJLAzvwshy",2021-05-14 17:51:21,Cameron30300,Indianapolis IN,corona virus
"Rand Paul Continues Fauci Feud; “He Could Be Culpable For The Entire Pandemic”

Amazing how they back off Masking ,… https://t.co/7Ufd5bQGR4",2021-05-14 17:50:46,dw4u2u,,corona virus
"RT @Afroz42107086: Corona virus of human society in Israel.

#WeAreAlquds
#IndiaStandsWithPalestine",2021-05-14 17:50:32,RoohidPasha3,,corona virus
"CORONA IS THE VIRUS, 
ZIONISM IS THE PANDEMIC.
#GenocideinGaza 
#GazzaUnderAttack 
#PalestineUnderAttack",2021-05-14 17:50:23,mnts__b,"İzmir, Türkiye",corona virus
"Do you believe that the Novel Corona Virus is a man-made bioweapon and was accidentally leaked from Chinese lab in Wuhan?
#COVID19 
#BIOWAR",2021-05-14 17:50:11,Siddhaarrth,"Kerala, India",corona virus
"RT @RIAZtheboss: Our #Thalaivar #Superstar @rajinikanth Took The 2nd Dose Of The #COVIDSHIELD vaccine At @HospitalsApollo
Let us fight &amp; wi…",2021-05-14 17:50:02,devsoundarrajan,"coimbatore, trichy, india",corona virus
@NY_Comic_Con Can i wipe out corona virus in a single snap?,2021-05-14 17:50:00,meme_commercial,Nairobi ,corona virus
"RT @Tiwari2941: In the last 5 weeks, I lost 5  close relatives. due to this corona Virus 

Friends.
Life is unpredictable.please stay  safe…",2021-05-14 17:49:53,Harsh7tripathi,"Kanpur, India",corona virus
"RT @MNJYDV: Took my First Jab of COVID19 vaccine.

Fellow Indians, get yourself vaccinated asap to defeat this deadly corona virus and prot…",2021-05-14 17:49:28,Nespejo12,"Los Angeles, CA",corona virus
RT @DKishoreBabu11: @narendramodi Sir but the scientists' conclusion is that the vaccine has of no impact on the 2nd strain of Corona virus…,2021-05-14 17:49:04,amitdagar009,,corona virus
"@benshapiro 9/11 kills 3,00 instantly and we get Involved  in a 20 year war killing hundreds of thousands more. Cor… https://t.co/6I1JZLSfOQ",2021-05-14 17:49:04,Cameron30300,Indianapolis IN,corona virus
RT @NmaryMasika: Jael Chemutai #ACrippleHasWalked  in Mt. Elgon- Kenya. Were you waiting for the great Prophets Elijah promised in Malachi…,2021-05-14 17:48:58,Maureenabr189,,corona virus
@narendramodi is there any study conducted which proves indian vaccine works on new strain of corona virus ???  gov… https://t.co/yOvUXBLyju,2021-05-14 17:48:43,amitdagar009,,corona virus
"@FoxNews 9/11 kills 3,00 instantly and we get Involved  in a 20 year war killing hundreds of thousands more. Corona… https://t.co/5akh0HBiWX",2021-05-14 17:48:39,Cameron30300,Indianapolis IN,corona virus
@TAlanHorne Oh and corona virus causes the common cold too! Plus it will mutate which means it usally gets more inf… https://t.co/yW1guMgsrc,2021-05-14 17:48:27,OldSaltyGamer83,"California, USA",corona virus
