Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,RT @JamesMelville: Look at how many people are at the latest anti lockdown protest march in London. The vast majority of these people are d…,2021-05-15 16:04:31,1393598175144026113,euro_fascists,,,False,650,0,en,lockdown
,RT @JimDMiller: Prediction:  A huge benefit of COVID is that lockdown created natural experiment where we had reduced exposure to viruses a…,2021-05-15 16:04:31,1393598174254845958,Isegoria,,,False,6,0,en,lockdown
,"RT @keertanya: You, who are quick to blame the people, are the very same ones defending with your last breath:
1. The unnecessary dramatics…",2021-05-15 16:04:31,1393598173818494982,whynot34041661,,,True,1,0,en,lockdown
,RT @johnpavlovitz: It's patently asinine that we have to plead with adults human beings to get vaccinated after 13 months in lockdown and 5…,2021-05-15 16:04:31,1393598173680005121,TerryWith_A_Why,,"Portland, OR",True,787,0,en,lockdown
,RT @rishibagree: Panic buying has started in Kolkata liquor shops just ahead of #lockdown https://t.co/wlx8Ym7daz,2021-05-15 16:04:30,1393598172174241792,vijayrajput,,,True,304,0,en,lockdown
,RT @MichaelPSenger: Massive anti-lockdown protest in front of BBC London today. BBC shocked to be treated this way by the public who funds…,2021-05-15 16:04:30,1393598171939540992,TheRealOnesKnow,,Earth,False,344,0,en,lockdown
,RT @gagsshri: i consider this as the beginning of the failure of the new Team. They don't even know how to handle a small crowd during this…,2021-05-15 16:04:30,1393598169653514240,thalapathyt18,,"Tamil Nadu, India",False,12,0,en,lockdown
,"RT @markantro: How to demoralise a nation.

Step 1) Give them hope. (ending lockdown)

Step 2) Take that hope away. (don't end lockdown. Bl…",2021-05-15 16:04:29,1393598167220822022,veraciousditto,,Canada,False,735,0,en,lockdown
,"RT @ANI: Assam government issues fresh lockdown guidelines for urban &amp; adjoining areas to come into effect from 5 am tomorrow. 

All shops…",2021-05-15 16:04:29,1393598165652152323,Brijend76417735,,"Mirzapur-Vindhyachal, India",True,6,0,en,lockdown
,@RadioX @acdc @arcadefire @DanGasser Now I know ac/dc won the x list but can you please treat us to a bit of Arcade… https://t.co/WhJ4GcZxqw,2021-05-15 16:04:29,1393598165186658309,PaulCun30286629,,,False,0,0,en,lockdown
,RT @wayotworld: Lockdown is a lie. https://t.co/SHkjblefr5,2021-05-15 16:04:28,1393598163773165568,RacistTarno,,,False,36,0,en,lockdown
,"RT @FreddieBailey96: 2019: young people can't afford a house because they spend their money on expensive coffee.

2021: our economy will cr…",2021-05-15 16:04:28,1393598163357929478,daisylaut,,"South West, England",True,271,0,en,lockdown
,@RateMyTakeaway With lockdown easing. Will you be venturing around the country?,2021-05-15 16:04:28,1393598162426896384,AndrewSuperDad,,Boldon ,False,0,0,en,lockdown
,"RT @aimim_national: Since the lockdown in Telangana is relaxed every day from 6 AM to 10 AM, all AIMIM Corporators &amp; MLAs will be available…",2021-05-15 16:04:28,1393598160841367556,FIROJKH84572801,,"Uttar Pradesh, India",False,274,0,en,lockdown
,"RT @PoliticsForAlI: 🚨 | NEW: Anti-lockdown protest in London today

Via @SubjectAccesss https://t.co/XeaN2OS6L2",2021-05-15 16:04:27,1393598160459739138,JShinn79,,,True,226,0,en,lockdown
,"RT @ABHIca92: Maharashtra after one month of lockdown :

New cases : 34848
Deaths : 960 (80512)
Deaths due to other reason : 37 (2466)
Test…",2021-05-15 16:04:26,1393598155648737301,tweeple_rakesh,,,False,10,0,en,lockdown
,RT @a_leesha1: We wore masks. We brought sanitiser &amp; we distanced as much as we could. It was nowhere near an anti-lockdown protest so pls…,2021-05-15 16:04:26,1393598154851880962,Nutellastaan,,At Home,False,3,0,en,lockdown
,"RT @ShaleenMitra: FALSE CLAIM..!!!

The work of this under construction Mohalla clinic has been halted due to Lockdown.

Delhi has 497 Moha…",2021-05-15 16:04:26,1393598153811578883,RaviRan17758972,,,False,110,0,en,lockdown
,RT @MichaelPSenger: Massive anti-lockdown protest in front of BBC London today. BBC shocked to be treated this way by the public who funds…,2021-05-15 16:04:25,1393598151366520836,shot_in_the_ass,,,False,344,0,en,lockdown
,"""Boris Johnson must take responsibility for the failure to prevent the Indian variant taking root in the UK.""
“Once… https://t.co/0xoHQwlGfu",2021-05-15 16:04:25,1393598150531862528,SloughLibDems,,"Slough, South East",True,0,0,en,lockdown
,@KkevrockK @spencerbennett1 @sunlorrie A proper lockdown? Like just one proper lockdown?,2021-05-15 16:04:25,1393598149214736385,RT_Ohagan,"Place(_api=<tweepy.api.API object at 0x7fcc84f83d90>, id='1795f2e3639cab31', url='https://api.twitter.com/1.1/geo/id/1795f2e3639cab31.json', place_type='city', name='London', full_name='London, Ontario', country_code='CA', country='Canada', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fcc84f83d90>, type='Polygon', coordinates=[[[-81.391247, 42.824496], [-81.106326, 42.824496], [-81.106326, 43.073185], [-81.391247, 43.073185]]]), attributes={})",,True,0,0,en,lockdown
,"@satishacharya Would love to see your cartoons with @ArvindKejriwal @ashokgehlot51 @CMOKerala @OfficeofUT 

If you… https://t.co/P39PTDCPSd",2021-05-15 16:04:24,1393598145464913929,Piyush4India,,India,True,0,0,en,lockdown
,RT @johnpavlovitz: It's patently asinine that we have to plead with adults human beings to get vaccinated after 13 months in lockdown and 5…,2021-05-15 16:04:23,1393598140872331265,KenleighJackCal,,,False,787,0,en,lockdown
,"RT @dominiquetaegon: As usual, full support &amp; respect goes to those protesting lockdown in London today 👏🏽",2021-05-15 16:04:20,1393598131275710469,BlackCockney1,,"London, England",False,42,0,en,lockdown
,RT @JamesMelville: Look at how many people are at the latest anti lockdown protest march in London. The vast majority of these people are d…,2021-05-15 16:04:20,1393598129702834177,coulson_elle,,Dales,False,650,0,en,lockdown
,RT @ARP07393815: @VeerTalyan Sir i was a frontline worker during covid lockdown 2020..did 17-18hrs of shift Evrdy. Even my leave plea were…,2021-05-15 16:04:20,1393598128725635074,Rajwant77891688,,,False,8,0,en,lockdown
,@bennydoda01 We are just coming out of lockdown here. Slowly opening things back up. But how the world is at mo I'l… https://t.co/TNseACV5QP,2021-05-15 16:04:19,1393598126800445441,Dub_Toshi,,,False,0,0,en,lockdown
